,Course Name,University,Location,Cost,Cost per,Duration,Extra
236,Network Security, Heriot-Watt University Dubai ," Dubai, United Arab Emirates ",19193 EUR,year,1 year,M.Sc. Full-time Part-time
237,Information Systems and Computer Engineering – Taguspark campus, Instituto Superior Técnico ," Lisbon, Portugal ",7000 EUR,year,2 years,M.Sc. Full-time
238,IT Management, Swiss School Of Business and Management , Online ,7000 EUR,year,1 year,M.B.A. Part-time
239,Cyber-Physical Systems, Institut Polytechnique de Paris ," Palaiseau, France ",6243 EUR,year,2 years,Full-time
240,Energy Informatics, University of Applied Sciences Upper Austria , Online ,1452 EUR,year,2 years,M.Sc. Part-time
241,Computer Science for Networks, Institut Polytechnique de Paris ," Palaiseau, France ",6243 EUR,year,2 years,Full-time
242,Human Language Technology - Accelerated Master's Program, University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,M.Sc. Full-time
243,Blockchain and Distributed Ledger Technologies (Information and Communication Technology), University of Malta ," Msida, Malta ",6666 EUR,year,1½ years,M.Sc. Full-time
244,Countering Organised Crime and Terrorism, University College London (UCL) ," London, England, United Kingdom ",33204 EUR,year,1 year,M.Sc. Full-time Part-time Online
245,Care and Cure, Eindhoven University of Technology (TU/e) ," Eindhoven, Netherlands ",16400 EUR,year,2 years,M.Sc. Full-time
246,Engineering Sciences (Robotics), University at Buffalo SUNY - School of Engineering and Applied Sciences ," Buffalo, New York, United States ",19077 EUR,year,1 year,M.Sc. Full-time Part-time
247,Cybersecurity, Drexel University College of Engineering ," Philadelphia, Pennsylvania, United States ",1108 EUR,credit,2 years,M.Sc. Full-time Part-time Online
248,Scriptwriting, University of Central Lancashire (UCLan) ," Preston, England, United Kingdom ",15728 EUR,year,1 year,M.A. Full-time Part-time
249,Blockchain Applications Master Track, Coursera , Online ,2478 EUR,full,3 months,Pre-Master Part-time
250,Petroleum and Gas Engineering, University of Portsmouth ," Portsmouth, England, United Kingdom ",,,1 year,M.Sc. Full-time Part-time
251,Human-Centered Artificial Intelligence, Technical University of Denmark (DTU) ," Copenhagen, Denmark ",15000 EUR,year,2 years,M.Sc. Full-time
252,Data Science and Engineering, Instituto Superior Técnico ," Lisbon, Portugal ",7000 EUR,year,2 years,Full-time
253,Intro to Programming - Nanodegree, School of Programming , Online ,1120 EUR,full,4 months,Pre-Master Part-time
254,Risk and Disaster Science - Data Science Pathway, University College London (UCL) ," London, England, United Kingdom ",29103 EUR,year,1 year,M.Sc. Full-time Part-time
255,Network and Cloud Technology, ITMO University ," Saint Petersburg, Russia ",3008 EUR,year,2 years,M.Sc. Full-time
256,Business Analytics (Extension), Kaplan Business School , Multiple locations ,14508 EUR,year,2 years,Full-time Online
257,Digital Forensics, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit, ,Postgraduate Certificate Full-time
258,Information and Technology," School of Computing, Creative Technologies and Engineering "," Leeds, England, United Kingdom ",16311 EUR,year,1 year,M.Sc. Full-time Part-time
259,Computer Science for Games Development, ," Hull, England, United Kingdom ",20039 EUR,year,1 year,M.Sc. Full-time
260,Computer Science, University of Nicosia ," Nicosia, Cyprus ",9240 EUR,year,1½ years,M.Sc. Full-time Part-time
261,Cybersecurity Strategy and Policy, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit,1 year,Postgraduate Certificate Full-time
262,Computer Science, University of Essex Online , Online ,6537 EUR,year,"1 year, 4 months",Postgraduate Diploma Part-time
263,Cybersecurity, National University ," San Diego, California, United States ",13141 EUR,year,1 year,M.Sc. Part-time Online
264,Control Technologies, Kaunas University of Technology ," Kaunas, Lithuania ",4787 EUR,year,2 years,M.Sc. Full-time
265,Social Media and Web Technologies, Linnaeus University , Online ,15434 EUR,year,2 years,M.Sc. Full-time
266,Spatial Data Analysis and Visualization MasterTrack, Coursera , Online ,2478 EUR,full,½ year,Pre-Master Part-time
267,"Big Data, Marketing and Management", TBS Business School ," Toulouse, France ",18500 EUR,year,1 year,M.Sc. Full-time Blended Learning
268,User Experience Psychology, POLI.design  - Milan (Italy) ," Milano, Italy ",10000 EUR,year,1 year,Part-time
269,Public Management and Policy Studies, University of Haifa ," Haifa, Israel ",9910 EUR,year,1 year,Full-time
270,Sensor Fusion Engineer, School of Autonomous Systems , Online ,1120 EUR,full,4 months,Pre-Master Part-time
271,Big Data MicroMasters Program, University of Adelaide - AdelaideX , Online ,813 EUR,year,1 year,Pre-Master Part-time
272,Marketing, HEC Paris ," Jouy-en-Josas, France ",23350 EUR,full, ,M.Sc. Full-time
273,Games Development, Abertay University ," Dundee, Scotland, United Kingdom ",19806 EUR,year,1 year,Full-time
274,Electronics Engineering, Kaunas University of Technology ," Kaunas, Lithuania ",4787 EUR,year,2½ years,M.Sc. Full-time
275,Visual Informatics, Masaryk University ," Brno, Czech Republic ",3000 EUR,year,2 years,Full-time
276,Robotics, Nazarbayev University ," Nur-Sultan, Kazakhstan ",,,2 years,M.Sc. Full-time
277,Smart City Management, University of Europe for Applied Sciences , Multiple locations ,14300 EUR,year,1 year,M.A. Full-time
278,Information Technology - Robotics and Artificial Intelligence, Tampere University ," Tampere, Finland ",12000 EUR,year,2 years,M.Sc. Full-time
279,Big Data Management, IU International University of Applied Sciences - Online , Online ,10660 EUR,year,1½ years,M.B.A. Full-time Part-time
280,Computing Sciences - Machine Learning, Tampere University ," Tampere, Finland ",12000 EUR,year,2 years,M.Sc. Full-time
281,Statistics and Data Science, University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,M.Sc. Full-time
282,Geographical Information Science (Online), University of Leeds , Online ,,,3 years,M.Sc. Part-time
283,Computer Security," School of Computing, Creative Technologies and Engineering ", Online ,970 EUR,module,3 years,M.Sc. Part-time
284,Robotics and Artificial Intelligence, ITMO University , Multiple locations ,3008 EUR,year,2 years,M.Sc. Full-time
285,IT Management, IU International University of Applied Sciences - Online , Online ,10660 EUR,year,1½ years,M.B.A. Full-time Part-time
286,Data Driven Marketing - Marketing Intelligence, NOVA IMS ," Lisbon, Portugal ",3000 EUR,year,2 years,M.Sc. Full-time
287,Operational Research with Computational Optimization, The University of Edinburgh ," Edinburgh, Scotland, United Kingdom ",29243 EUR,year,1 year,M.Sc. Full-time Part-time
288,Computing and Information Systems, School of Computing and Mathematics ," Pontypridd, Wales, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
289,Industrial and Systems Engineering, University of Michigan - Dearborn ," Dearborn, Michigan, United States ",1187 EUR,credit,1 year,Full-time Blended Learning Online
290,Information Technology, University of Technology Sydney ," Sydney, New South Wales, Australia ",601 EUR,credit,½ year,Postgraduate Certificate Full-time Part-time
291,Artificial Intelligence, University of South Wales ," Pontypridd, Wales, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
292,Modelling and Data Analysis, Vilnius University ," Vilnius, Lithuania ",5000 EUR,year,1½ years,Full-time Part-time
293,Software Development MicroMasters Program, University of British Columbia - UBCx , Online ,687 EUR,full,9 months,Pre-Master Part-time
294,Theoretical Physics and Astrophysics, Vilnius University ," Vilnius, Lithuania ",4787 EUR,year,2 years,Full-time
295,Network Security," University of Winnipeg - Professional, Applied and Continuing Education (PACE) "," Winnipeg, Canada ",11813 EUR,year,"1 year, 4 months",Postgraduate Diploma Full-time
296,Information Technology Solutions, Humber College ," Toronto, Canada ",12467 EUR,year,2 years,Postgraduate Certificate Full-time
297,Artificial Intelligence," University of Winnipeg - Professional, Applied and Continuing Education (PACE) "," Winnipeg, Canada ",14891 EUR,year,1 year,Postgraduate Diploma Full-time
298,Telecommunications Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
299,Computer Science, Unicaf Scholarships , Online ,,, ,M.Sc. Part-time
300,Front-end Development, Harbour.Space University ," Barcelona, Spain ",22900 EUR,year,1 year,M.Sc. Full-time
301,Virtual Reality, University of the West of England (UWE Bristol) ," Bristol, England, United Kingdom ",15437 EUR,year,1 year,M.A. Full-time
302,Environmental Management with Geographic Information Systems, Ulster University , Online ,5790 EUR,year,3 years,Part-time
303,Data Science, Heriot-Watt University Dubai ," Dubai, United Arab Emirates ",19193 EUR,year,1 year,M.Sc. Full-time Part-time
304,Management - Information Systems, ESIEE Paris ," Paris, France ",7000 EUR,year,1½ years,M.Sc. Full-time
305,User Experience Psychology, Università Cattolica del Sacro Cuore ," Milano, Italy ",10 EUR,year,1 year,Full-time
306,Computing Sciences (Research), University of Technology Sydney ," Sydney, New South Wales, Australia ",23748 EUR,year,2 years,M.Sc. Full-time Part-time
307,Telecommunications and Informatics Engineering, Instituto Superior Técnico ," Lisbon, Portugal ",7000 EUR,year,2 years,Full-time
308,Business Intelligence and Analytics, The University of Law Business School ," London, England, United Kingdom ",13223 EUR,full,½ year,Postgraduate Diploma Full-time
309,Web Development, Humber College ," Toronto, Canada ",12467 EUR,year,1½ years,Postgraduate Certificate Full-time
310,Data Science in Engineering, Eindhoven University of Technology (TU/e) ," Eindhoven, Netherlands ",16400 EUR,year,2 years,M.Sc. Full-time
311,Digital Business, MCI - The Entrepreneurial School® ," Innsbruck, Austria ",9450 EUR,year,2 years,M.B.A. Part-time Blended Learning
312,Theoretical and Computational Methods, University of Helsinki ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
313,Information Systems, University of Michigan - Dearborn ," Dearborn, Michigan, United States ",1187 EUR,credit,1 year,M.Sc. Full-time Part-time Blended Learning
314,Smart Energy Management, Keele University ," Keele, England, United Kingdom ",19223 EUR,year,1 year,M.Sc. Full-time
315,Library and Information Science, University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,M.A. Full-time Online
316,Electrical Engineering, Vrije Universiteit Brussel (VUB) ," Brussels, Belgium ",2500 EUR,year,2 years,M.Sc. Full-time
317,Cybersecurity Operations, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit,1 year,Postgraduate Certificate Full-time
318,Digital Forensics and Cyber Investigations (with Advanced Practice), Teesside University ," Middlesbrough, England, United Kingdom ",8738 EUR,year,"1 year, 8 months",M.Sc. Full-time
319,Law and Technology, Universidade Nova de Lisboa- NOVA School of Law ," Lisbon, Portugal ",4200 EUR,year,2 years,M.Sc. Full-time
320,Bioinformatics, Northeastern University , Multiple locations ,21348 EUR,year,2 years,M.Sc. Full-time Part-time Online
321,Internetworking, University of Technology Sydney ," Sydney, New South Wales, Australia ",638 EUR,credit,½ year,Postgraduate Certificate Full-time Part-time
322,Business Analytics, Kaplan Business School ," Adelaide, South Australia, Australia ",13745 EUR,year,1 year,Postgraduate Diploma Full-time Online
323,Data Science, University of Auckland ," Auckland, New Zealand ",24380 EUR,year,1½ years,Full-time Part-time
324,Social Media and Web Technologies, Linnaeus University ," Växjö, Sweden ",15434 EUR,year,2 years,M.Sc. Full-time
325,Organisational Dynamics in the Digital Society, Erasmus School of Social and Behavioural Sciences ," Rotterdam, Netherlands ",15500 EUR,year,1 year,M.Sc. Full-time Blended Learning
326,Mathematics and Modelling - Algebra with Cryptography and Coding, Linnaeus University ," Växjö, Sweden ",15434 EUR,year,2 years,M.Sc. Full-time
327,Applied Informatics, Xi'an Jiaotong-Liverpool University ," Suzhou, China ",10185 EUR,year,1½ years,M.Sc. Full-time
328,AI for Healthcare, School of Artificial Intelligence , Online ,1120 EUR,full,4 months,Pre-Master Part-time
329,Data Streaming, School of Data Science , Online ,560 EUR,full,2 months,Pre-Master Part-time
330,RPA Developer - Nanodegree, School of Programming , Online ,1120 EUR,full,4 months,Pre-Master Full-time
331,Information Systems and Computer Engineering, ," Lisbon, Portugal ",7000 EUR,year,2 years,M.Sc. Full-time
332,Information Systems and Business Analysis - Master's Foundation Programme, ONCAMPUS Aston ," Birmingham, England, United Kingdom ",18384 EUR,full,9 months,Pre-Master Full-time Blended Learning
333,Data Management for Finance, Audencia ," Nantes, France ",20000 EUR,year,1 year,M.Sc. Full-time Blended Learning Online
